1957,58138,0,0,58,635
1954,46344,1,1,38,11
1965,71613,0,0,26,426
1984,26646,1,0,26,11
1981,58293,1,0,94,173
1967,62513,0,1,16,520
1971,55635,0,1,34,235
1985,33454,1,0,32,76
1974,30351,1,0,19,14
1950,5648,1,1,68,28
1976,7500,0,0,59,6
1959,63033,0,0,82,194
1952,59354,1,1,53,233
1987,17323,0,0,38,3
1946,82800,0,0,23,1006
1980,41850,1,1,51,53
1946,37760,0,0,20,84
1949,76995,0,1,91,1012
1985,33812,1,0,86,4
1982,37040,0,0,41,86
1979,2447,1,0,42,1
1949,58607,0,1,63,867
1954,65324,0,1,0,384
1951,40689,0,1,69,270
1969,18589,0,0,89,6
1976,53359,1,1,4,173
1989,38360,1,0,26,36
1965,84618,0,0,96,684
1989,10979,0,0,34,8
1963,38620,0,0,56,112
1970,40548,0,1,31,110
1952,46610,0,2,8,96
1946,68657,0,0,4,482
1951,49389,1,1,55,40
1970,67353,0,1,37,702
1976,23718,1,0,76,6
1973,42429,0,1,99,55
1943,48948,0,0,53,437
1980,80011,0,1,3,421
1985,20559,1,0,88,13
1957,21994,0,1,4,9
1975,7500,1,0,19,3
1976,79941,0,0,72,123
1996,7500,0,0,24,3
1968,41728,1,0,92,13
1954,72550,1,1,39,826
1957,65486,0,1,29,245
1964,79143,0,0,2,650
1977,35790,1,0,54,12
1977,82582,0,0,54,510
1978,66373,1,1,57,328
1955,82384,0,0,55,984
1966,70287,0,0,30,295
1988,27938,1,0,31,13
1968,55954,0,1,63,447
1982,75777,0,0,12,712
1975,66653,1,1,18,452
1952,61823,0,1,26,523
1951,67680,0,1,8,546
1948,70666,0,0,29,398
1971,25721,1,0,75,1
1967,32474,1,1,0,10
1979,88194,0,1,19,688
1958,69096,0,1,4,247
1970,74854,1,2,90,856
1954,66991,0,0,1,496
1959,65031,0,1,29,258
1975,60631,1,1,88,565
1952,28332,0,0,58,14
1977,40246,1,0,68,2
1972,75251,0,0,34,721
1976,75825,0,0,40,1032
1976,26326,0,0,12,1
1965,56046,0,0,9,577
1985,29760,1,0,87,64
1969,26304,1,0,5,4
1973,23559,1,0,87,25
1963,38620,0,0,56,112
